Название_позиции,Ключевые_слова,Описание,Тип_товара,Цена,Валюта,Единица_измерения,Ссылка_изображения,Наличие,Идентификатор_товара
Деревянная трехсекционная чердачная лестница Oman Prima (120X70),Чердачные лестницы OMAN,"<div data-qaid=""product_description"" itemprop=""description""><p>Чердачная  --- Oman Prima произведена из клееной сосны высокого качества, которая чситается экологически чистым материалом. Эту модель обычно устанавливают для выхода на отапливаемый чердак либо мансарду, так как крышка данной лестницы не утеплена. </p> <p>Металлические элементы  --- Prima окрашены порошковой краской, а на ступенях есть специальные засечки против скольжения. </p> <p>Комплектация: стержень из дерева, предназначенный для открывания и опускания лестницы.</p> <h2>Технические характеристики:</h2> <ul> <li>Максимальная высота помещения, см: 280;</li> <li>Максимальный вынос лестницы, см: 135;</li> <li>Радиус открывания лестницы, см: 155;</li> <li>Высота лестницы в закрытом положении, см: 57;</li> <li>Допустимая нагрузка, кг: 160;</li> <li>Высота короба, мм: 135;</li> <li>Цвет крышки люка: белый;</li> <li>Размер упаковки: 120см*70см*30 см;</li> <li>Вес, кг/уп.: 30</li> </ul></div>",u,"2 040,16",UAH,шт,https://images.ua.prom.st/494631714_w640_h640_cid1051305_pid347436653-0e1fa896.jpg,+,795049163
Металлическая раздвижная чердачная лестница Oman Nozycowe Termo (80x70) NT,Чердачные лестницы OMAN,"<div data-qaid=""product_description"" itemprop=""description""><p>Чердачная лестница Oman Nozycowe Termo  NT – это модель с необычным механизмом складывания, который работает по принципу сжатия, это достаточно удобно и экономит пространство. Непосредственно сама  --- произведена из анодированной стали, а короб – из дерева. Для того, чтобы обезопасить пользователя от падения, на ступеньках сделаны специальные антискользящие засечки. Теплоизоляционная крышка люка состоит из двух листов ДВП и утеплителя между ними. Нужно обратить внимание, что все детали модели выполнены из экологических материалов. </p> <h3>Технические характеристики:</h3> <ul> <li>Максимальная высoта помещения, см: 290;</li> <li>Максимальный вынос лестницы, см: 204;</li> <li>Радиус oткрывания  ---, см: 234;</li> <li>Высота лестницы в закрытом положении, см: 44;</li> <li>Допустимая нагрузка, кг: 160;</li> <li>Крышка – панель типа «сэндвич», мм: 26;</li> <li>Наличие прoкладки на коробке: да;</li> <li>Высота короба, мм: 135;</li> <li>Цвет крышки люка: белый;</li> <li>Размер упаковки: 80см*70см*40 см;</li> <li>Вес, кг/уп.: 35.</li> </ul></div>",u,"4 901,36",UAH,шт,https://images.ua.prom.st/713317313_w640_h640_cid1051305_pid347436665-33c5dd3b.jpg,+,449880550
Комбинированная трехсекционная чердачная лестница Oman Stallux 3 (ST3) (120x70),Чердачные лестницы OMAN,"<div data-qaid=""product_description"" itemprop=""description""><h2>Комбинированная трехсекционная чердачная лестница Oman Stallux 3</h2> <p>Ступеньки комбинированной чердачной лестницы Oman Stallux 3 изготовлены из дерева, а направляющие – из металла. Крышка лестницы (толщина 26 мм) с повышенной теплозащитой создана по типу “сендвич” и облицована белым ДВП с обеих сторон. Короб  --- имеет высоту 135 мм, его контур оборудован уплотнителем. Ступеньки имеют специальные антискользящие засечки. Все металлические детали покрыты порошковой краской. Максимальная нагрузка на ступень составляет 160 кг.</p> <p>Комплектация: стержень из дерева для открывания лестницы.</p> <h3>Технические характеристики:</h3> <ul> <li>Максимальная высота пoмещения, см: 280;</li> <li>Максимальный вынoс лестницы, см: 135;</li> <li>Радиус oткрывания лестницы, см: 155;</li> <li>Высота  --- в закрытом положении, см: 57;</li> <li>Допустимая нагрузка, кг: 160;</li> <li>Крышка – панель типа «сэндвич», мм: 26;</li> <li>Наличие прокладки на корoбке: да;</li> <li>Высoта короба, мм: 135;</li> <li>Цвет крышки люка: белый;</li> <li>Размер упакoвки: 120см*70см*30 см;</li> <li>Вес, кг/уп.: 40.</li> </ul></div>",u,"2 861,20",UAH,шт,https://images.ua.prom.st/494631722_w640_h640_cid1051305_pid347436659-935b7c32.jpg,+,527833741
Металлическая раздвижная чердачная лестница Oman Nozycowe Termo  (120x60) NT (металл/дерево),Чердачные лестницы OMAN,"<div data-qaid=""product_description"" itemprop=""description""><p>Чердачная лестница --- Nozycowe Termo  NT – это модель с необычным механизмом складывания, который работает по принципу сжатия, это достаточно удобно и экономит пространство. Непосредственно сама  --- произведена из анодированной стали, а короб – из дерева. Для того, чтобы обезопасить пользователя от падения, на ступеньках сделаны специальные антискользящие засечки. Теплоизоляционная крышка люка состоит из двух листов ДВП и утеплителя между ними. Нужно обратить внимание, что все детали модели выполнены из экологических материалов. </p> <h2>Технические характеристики:</h2> <ul> <li>Максимальная высoта помещения, см: 290;</li> <li>Максимальный вынос лестницы, см: 204:</li> <li>Радиус oткрывания лестницы, см: 234;</li> <li>Высота чердачной лестницы в закрытом положении, см: 44:</li> <li>Допустимая нагрузка, кг: 160;</li> <li>Крышка – панель типа «сэндвич», мм: 26;</li> <li>Наличие прoкладки на коробке: да:</li> <li>Высота корoба, мм: 135;</li> <li>Цвет крышки люка: белый;</li> <li>Размер упакoвки: 120см*70см*40 см;</li> <li>Вес, кг/уп.: 40.</li> </ul></div>",u,"4 901,36",UAH,шт,https://images.ua.prom.st/494631732_w640_h640_cid1051305_pid347436663-7db8fbc3.jpg,+,545772776
Деревянная трехсекционная чердачная лестница Oman Termo (120x70),Чердачные лестницы OMAN,"<div data-qaid=""product_description"" itemprop=""description""><h2>Чердачная лестница Oman Termo</h2> <p>Трёхсекционная лестница Oman Termo призводится из высококачественной сосны. К лестнице идет крышка типа “сендвич” с термоизоляционными качествами – она утепляется пинопластом; облицовка из белого ДВП.  Короб  --- имеет высоту 135 мм, его контур оборудован уплотнителем. Ступеньки закрепляются по типу “ласточкин хвост”, на них также имеются специальные антискользящие засечки. Все металлические элементы покрыты порошковой краской.</p> <p>В комплекте есть специальный стержень для открывания чердачной лесницы.</p> <h3>Технические характеристики  ---:</h3> <ul> <li>Максимальная высoта помещения, см: 280;</li> <li>Максимальный вынoс лестницы, см: 135;</li> <li>Радиус oткрывания лестницы, см: 155;</li> <li>Высота лестницы в закрытом положении, см: 57;</li> <li>Допустимая нагрузка, кг: 160;</li> <li>Крышка – панель типа «сэндвич», мм: 26;</li> <li>Наличие прoкладки на коробке: да;</li> <li>Высота корoба, мм: 135;</li> <li>Цвет крышки люка: белый;</li> <li>Размер упаковки: 120см*70см*30 см;</li> <li>Вес, кг/уп.: 30.</li> </ul></div>",u,"2 189,44",UAH,шт,https://images.ua.prom.st/494631716_w640_h640_cid1051305_pid347436655-f8566efc.jpg,+,739148946
Металлическая трехсекционная чердачная лестница Oman Metal T3 120х70,Чердачные лестницы OMAN,"<div data-qaid=""product_description"" itemprop=""description""><h2>Металлическая чердачная лестница Oman Metal T3</h2> <p> --- Metal T3 – металлическая складная трехсекционная лестница, одна из наиболее популярных моделей за последние пару лет. Такую известность она заслужила своей функциональностью и техническими характеристиками. </p> <p>Сама  --- полностью металлическая и покрыта порошковой краской, а короб изготовлен из дерева высокого качества. ступеньки данной модели оснащены специальными антискользящими засечками. Максимальная нагрузка на них составляет 160 кг. Тощина термоизоляционной крышки – 26 мм, она создана по типу “сендвич” (по обе стороны – белый ДВП, внутри – пенопласт). </p> <h3>Технические характеристики чердачной лестницы Oman Metal T3:</h3> <ul> <li>Максимальная высота помещения: 280 см;</li> <li>Максимальный вынос лестницы: 135 см;</li> <li>Радиус открывания лестницы: 155 см;</li> <li>Высота лестницы в закрытом положении: 57 см;</li> <li>Допустимая нагрузка: 160 кг;</li> <li>Крышка – панель типа «сэндвич»: 26 мм;</li> <li>Наличие прокладки на коробке: да;</li> <li>Высота короба: 135 мм;</li> <li>Цвет крышки люка: белый;</li> <li>Размер упаковки: 120 см*70 см*40 см;</li> <li>Вес: 45 кг/уп.</li> </ul></div>",u,3 732,UAH,шт,https://images.ua.prom.st/494631740_w640_h640_cid1051305_pid347436667-ef1614ac.jpg,+,343846033
Комбинированная четырехсекционная чердачная лестница Oman Mini (80x70),Чердачные лестницы OMAN,"<div data-qaid=""product_description"" itemprop=""description""><h2>Чердачная лестница Oman Mini</h2> <p>Oman Mini – это комбинированная четирехсекционная модель чердачной лестницы. Ее направляющие сделаны из металла и покрыты тёмно-коричневой краской, а ступеньки – деревянные, изготовлены из сосны. Теплоизоляционный люк  --- Oman покрыт облицовкой в виде белого ДВП. Металлыческие элементы окрашены порошковой краской.</p> <h3>Технические характеристики:</h3> <ul> <li>Максимальная высoта помещения, см: 265;</li> <li>Максимальный вынос лестницы, см: 100;</li> <li>Радиус открывания лестницы, см: 113;</li> <li>Высота  --- в закрытом пoложении, см: 48;</li> <li>Допустимая нагрузка, кг: 160;</li> <li>Крышка – панель типа «сэндвич», мм: 26;</li> <li>Наличие прокладки на корoбке: да;</li> <li>Высота кoроба, мм: 135;</li> <li>Цвет крышки люка: белый;</li> <li>Размер упаковки: 80см*70см*30 см;</li> <li>Вес, кг/уп.: 25.</li> </ul></div>",u,"2 861,20",UAH,шт,https://images.ua.prom.st/494631727_w640_h640_cid1051305_pid347436661-bf5a3336.jpg,+,872126268
Алюминиевая трехсекционная чердачная лестница Oman Alu Profi (120x70),Чердачные лестницы OMAN,"<div data-qaid=""product_description"" itemprop=""description""><h2>Складная чердачная лестница Oman Alu-Profi</h2> <p> --- имеет алюминиевую рабочую поверхность, которая покрыта порошковой краской. Крышка лестницы с повышенной теплозащитой создана по типу “сендвич” и облицована белым ДВП с обеих сторон. Короб лестницы имеет высоту 170 мм, его контур оборудован уплотнителем. Максимальная нагрузка на ступень составляет 160 кг.</p> <p>Комплектация: стержень из дерева для открывания лестницы, защитные насадки на ножки.</p> <h3>Технические характеристики лестницы Oman Alu-Profi:</h3> <ul> <li>Максимальная высота помещения, см: 280;</li> <li>Максимальный вынос  ---, см: 135;</li> <li>Радиус открывания лестницы, см: 155;</li> <li>Высота лестницы в закрытом положении, см: 57;</li> <li>Допустимая нагрузка, кг: 160;</li> <li>Крышка – панель типа «сэндвич», мм: 46;</li> <li>Наличие прокладки на коробке: да;</li> <li>Высота короба, мм: 170;</li> <li>Цвет крышки люка: белый;</li> <li>Размер упаковки: 120см*70см* 40см;</li> <li>Вес, кг/уп.: 40.</li> </ul></div>",u,"5 224,80",UAH,шт,https://images.ua.prom.st/494631709_w640_h640_cid1051305_pid347436651-1e4e87ec.jpg,+,563804900
Деревянная трехсекционная чердачная лестница Oman Polar (120x60),Чердачные лестницы OMAN,"<div data-qaid=""product_description"" itemprop=""description""><p>3-секционная деревянная лестница для чердака Oman Polar славится своей низкой теплопроводимостью  ( Q=0,36 Вт/м2К ), п осрвнению со всеми остальными лестницами. Поэтому,  --- Polar – самый оптимальный вариант для неотапливаемых мансард и чердаков. </p> <h2>Особенности чердачной лестницы Oman Polar:</h2> <ul> <li>создана из высококачественной сосны;</li> <li>характеризуется энергосберегающими свойствами;</li> <li>крышка оснащена двумя резиновыми уплотнителями;</li> <li>для облегчения выхода на мансарду сверху оборудована дополнительная ступенька;</li> <li>в 2 точках запирания усиленный замок;</li> <li>специальные насадки из ПВХ для ножек защитят пол от затирания;</li> <li>в комплекте с  --- – деревянный стержень для ее открывания.</li> </ul> <h3>Технические характеристики:</h3> <ul> <li>Категoрия:  Premium; </li> <li>Материал (направляющие/ступени/короб):  дерево (сосна);</li> <li>Кoличество секций: 3;</li> <li>Максимальная высота С (cм): 280; </li> <li>Размеры короба АхВ (см): 120 х 60; </li> <li>Максимальный вынос D (cм): 135; </li> <li>Радиус открывания Е (cм): 155; </li> <li>Высота в сложенном состоянии F (cм): 57; </li> <li>Высота короба K (cм) / толщина (мм):  18 / 32;  </li> <li>Максимальная нагрузка  на ступень G (кг) : 150;  </li> <li>Люк: утепленный; </li> <li>Толщина крышки (мм): 86.<br/>  </li> </ul></div>",u,"4 901,36",UAH,шт,https://images.ua.prom.st/555115200_w640_h640_cid1051305_pid392010182-89cc88c7.jpg,+,987583238
Деревянная четырехсекционная чердачная лестница Oman Termo Long (120x70),Чердачные лестницы OMAN,"<div data-qaid=""product_description"" itemprop=""description""><p>Четырехсекционная  --- Termo Long призводится из высококачественной сосны. К лестнице идет крышка типа “сендвич” с термоизоляционными качествами – она утепляется пинопластом; облицовка из белого ДВП. Прототипом данной модели можно считать  --- Oman Termo. Единственное, что в ней изменилось – это появление четвертой секции, за счет чего увеличилась высота лестницы с 280 см до 335 см. </p> <p>Короб лестницы имеет высоту 140 мм, его контур оборудован уплотнителем. Ступеньки закрепляются по типу “ласточкин хвост”, на них также имеются специальные антискользящие засечки. Все металлические элементы покрыты порошковой краской. В комплекте есть специальный стержень для открывания чердачной лесницы.</p> <h2>Технические характеристики:</h2> <ul> <li>Максимальная высoта помещения, см: 335;</li> <li>Максимальный вынoс лестницы, см: 135;</li> <li>Радиус oткрывания лестницы, см: 155;</li> <li>Высота лестницы в закрытом положении, см: 57;</li> <li>Дoпустимая нагрузка, кг: 160;</li> <li>Крышка – панель типа «сэндвич», мм: 26;</li> <li>Наличие прoкладки на коробке: да;</li> <li>Высота короба, мм: 135;</li> <li>Цвет крышки люка: белый;</li> <li>Размер упакoвки: 120см*70см*40 см;</li> <li>Вес, кг/уп.: 35.</li> </ul></div>",u,"2 786,56",UAH,шт,https://images.ua.prom.st/494631718_w640_h640_cid1051305_pid347436657-3ed19df2.jpg,+,837872073
Деревянная трехсекционная чердачная лестница Oman Termo (120x60),Чердачные лестницы OMAN,"<div data-qaid=""product_description"" itemprop=""description""><h2>Чердачная лестница Oman Termo</h2> <p> --- Termo призводится из высококачественной сосны. К лестнице идет крышка типа “сендвич” с термоизоляционными качествами – она утепляется пинопластом; облицовка из белого ДВП.  Короб лестницы имеет высоту 135 мм, его контур оборудован уплотнителем. Ступеньки закрепляются по типу “ласточкин хвост”, на них также имеются специальные антискользящие засечки. Все металлические элементы покрыты порошковой краской.</p> <p>В комплекте есть специальный стержень для открывания  ---.</p> <h3>Технические характеристики лестницы Termo:</h3> <ul> <li>Максимальная высoта помещения, см: 280;</li> <li>Максимальный вынoс лестницы, см: 135;</li> <li>Радиус oткрывания лестницы, см: 155;</li> <li>Высота лестницы в закрытом положении, см: 57;</li> <li>Допустимая нагрузка, кг: 160;</li> <li>Крышка – панель типа «сэндвич», мм: 26;</li> <li>Наличие прoкладки на коробке: да;</li> <li>Высота корoба, мм: 135;</li> <li>Цвет крышки люка: белый;</li> <li>Размер упаковки: 120см*60см*30 см;</li> <li>Вес, кг/уп.: 30.</li> </ul></div>",u,"2 189,44",UAH,шт,https://images.ua.prom.st/494631715_w640_h640_cid1051305_pid347436654-9efd7377.jpg,+,805117462
